star,number,introduce,moive_name,link,comments
9.6,1,希望让人自由。,肖申克的救赎,https://movie.douban.com/subject/1292052/,1062864人评价
9.5,2,风华绝代。,霸王别姬,https://movie.douban.com/subject/1291546/,774612人评价
9.4,3,怪蜀黍和小萝莉不得不说的故事。,这个杀手不太冷,https://movie.douban.com/subject/1295644/,991051人评价
9.4,4,一部美国近现代史。,阿甘正传,https://movie.douban.com/subject/1292720/,843943人评价
9.5,5,最美的谎言。,美丽人生,https://movie.douban.com/subject/1292063/,493342人评价
9.3,6,失去的才是永恒的。 ,泰坦尼克号,https://movie.douban.com/subject/1292722/,782926人评价
9.3,7,最好的宫崎骏，最好的久石让。 ,千与千寻,https://movie.douban.com/subject/1291561/,790620人评价
9.4,8,拯救一个人，就是拯救整个世界。,辛德勒的名单,https://movie.douban.com/subject/1295124/,447770人评价
9.3,9,诺兰给了我们一场无法盗取的梦。,盗梦空间,https://movie.douban.com/subject/3541415/,878800人评价
9.3,10,小瓦力，大人生。,机器人总动员,https://movie.douban.com/subject/2131459/,576692人评价
9.2,11,英俊版憨豆，高情商版谢耳朵。,三傻大闹宝莱坞,https://movie.douban.com/subject/3793023/,792195人评价
9.2,12,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,海上钢琴师,https://movie.douban.com/subject/1292001/,674423人评价
9.2,13,永远都不能忘记你所爱的人。,忠犬八公的故事,https://movie.douban.com/subject/3011091/,550820人评价
9.2,14,天籁一般的童声，是最接近上帝的存在。 ,放牛班的春天,https://movie.douban.com/subject/1291549/,531049人评价
9.2,15,一生所爱。,大话西游之大圣娶亲,https://movie.douban.com/subject/1292213/,581687人评价
9.1,16,如果再也不能见到你，祝你早安，午安，晚安。,楚门的世界,https://movie.douban.com/subject/1292064/,555964人评价
9.1,17,人人心中都有个龙猫，童年就永远不会消失。,龙猫,https://movie.douban.com/subject/1291560/,490524人评价
9.2,18,千万不要记恨你的对手，这样会让你失去理智。,教父,https://movie.douban.com/subject/1291841/,397088人评价
9.2,19,爱是一种力量，让我们超越时空感知它的存在。,星际穿越,https://movie.douban.com/subject/1889243/,582725人评价
9.2,20,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,熔炉,https://movie.douban.com/subject/5912992/,323236人评价
9.2,21,满满温情的高雅喜剧。,触不可及,https://movie.douban.com/subject/6786002/,431060人评价
9.2,22,Tomorrow is another day.,乱世佳人,https://movie.douban.com/subject/1300267/,307611人评价
9.1,23,香港电影史上永不过时的杰作。,无间道,https://movie.douban.com/subject/1307914/,474799人评价
8.9,24,平民励志片。 ,当幸福来敲门,https://movie.douban.com/subject/1849031/,627454人评价
8.9,25,真正的幸福是来自内心深处。,怦然心动,https://movie.douban.com/subject/3319755/,661633人评价
9.1,26,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,天堂电影院,https://movie.douban.com/subject/1291828/,345929人评价
9.4,27,1957年的理想主义。 ,十二怒汉,https://movie.douban.com/subject/1293182/,196918人评价
9.0,28,瑰丽壮观、无人能及的冒险之旅。,少年派的奇幻漂流,https://movie.douban.com/subject/1929463/,658904人评价
9.1,29,无尽的黑暗。,蝙蝠侠：黑暗骑士,https://movie.douban.com/subject/1851857/,382784人评价
9.2,30,对敌人的仁慈，就是对自己残忍。,鬼子来了,https://movie.douban.com/subject/1291858/,270166人评价
9.0,31,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,搏击俱乐部,https://movie.douban.com/subject/1292000/,443167人评价
9.1,32,张艺谋最好的电影。,活着,https://movie.douban.com/subject/1292365/,318262人评价
9.1,33,史诗的终章。,指环王3：王者无敌,https://movie.douban.com/subject/1291552/,323762人评价
9.1,34,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,疯狂动物城,https://movie.douban.com/subject/25662329/,612584人评价
9.0,35,对天空的追逐，永不停止。 ,天空之城,https://movie.douban.com/subject/1291583/,381254人评价
8.9,36,旷古烁今。,大话西游之月光宝盒,https://movie.douban.com/subject/1299398/,468374人评价
8.9,37,爱情哪怕只有一天。,罗马假日,https://movie.douban.com/subject/1293839/,438205人评价
8.9,38,最后那些最无聊的事情，才是最值得怀念的。 ,飞屋环游记,https://movie.douban.com/subject/2129039/,571109人评价
9.6,39,比利·怀德满分作品。,控方证人,https://movie.douban.com/subject/1296141/,120294人评价
9.1,40,别样人生。,窃听风暴,https://movie.douban.com/subject/1900841/,257775人评价
9.1,41,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。,两杆大烟枪,https://movie.douban.com/subject/1293350/,303588人评价
9.0,42,自由万岁。,飞越疯人院,https://movie.douban.com/subject/1292224/,308715人评价
8.9,43,史上最美的探戈。,闻香识女人,https://movie.douban.com/subject/1298624/,370507人评价
8.9,44,带着心爱的人在天空飞翔。,哈尔的移动城堡,https://movie.douban.com/subject/1308807/,407939人评价
9.1,45,电影的现实意义大过电影本身。,辩护人,https://movie.douban.com/subject/21937445/,248618人评价
9.3,46,海豚的微笑，是世界上最高明的伪装。,海豚湾,https://movie.douban.com/subject/3442220/,200853人评价
8.8,47,一张面具背后的理想与革命。,V字仇杀队,https://movie.douban.com/subject/1309046/,479608人评价
9.0,48,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,死亡诗社,https://movie.douban.com/subject/1291548/,319078人评价
9.1,49,优雅的孤独。,教父2,https://movie.douban.com/subject/1299131/,214194人评价
8.9,50,爱是一切逻辑和原由。,美丽心灵,https://movie.douban.com/subject/1306029/,343202人评价
9.0,51,承前启后的史诗篇章。,指环王2：双塔奇兵,https://movie.douban.com/subject/1291572/,304327人评价
8.9,52,传说的开始。,指环王1：魔戒再现,https://movie.douban.com/subject/1291571/,340737人评价
9.1,53,人生不能像做菜，把所有的料都准备好了才下锅。,饮食男女,https://movie.douban.com/subject/1291818/,233022人评价
8.8,54,暗恋的极致。,情书,https://movie.douban.com/subject/1292220/,423224人评价
9.1,55,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。,摔跤吧！爸爸,https://movie.douban.com/subject/26387939/,544282人评价
9.1,56,往事如烟，无处祭奠。,美国往事,https://movie.douban.com/subject/1292262/,197262人评价
8.9,57,动物版《哈姆雷特》。,狮子王,https://movie.douban.com/subject/1301753/,318182人评价
9.0,58,音乐能化解仇恨。,钢琴家,https://movie.douban.com/subject/1296736/,226264人评价
9.1,59,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,素媛,https://movie.douban.com/subject/21937452/,215087人评价
8.7,60,法式小清新。 ,天使爱美丽,https://movie.douban.com/subject/1292215/,532317人评价
9.2,61,奔跑的孩子是天使。,小鞋子,https://movie.douban.com/subject/1303021/,159622人评价
8.7,62,警察抓小偷，老鼠玩死猫。,七宗罪,https://movie.douban.com/subject/1292223/,479611人评价
8.9,63,以戏谑来戏谑戏谑。,被嫌弃的松子的一生,https://movie.douban.com/subject/1787291/,332894人评价
8.8,64,孪生蝙蝠侠大战克隆金刚狼。,致命魔术,https://movie.douban.com/subject/1780330/,386361人评价
8.8,65,在时间之河里感受溺水之苦。,本杰明·巴顿奇事,https://movie.douban.com/subject/1485260/,438571人评价
8.9,66,用音乐化解仇恨，让歌声串起美好。,音乐之声,https://movie.douban.com/subject/1294408/,257511人评价
8.8,67,史诗大片的典范。,勇敢的心,https://movie.douban.com/subject/1294639/,321547人评价
8.8,68,美丽无罪。,西西里的美丽传说,https://movie.douban.com/subject/1292402/,399891人评价
8.7,69,浪漫忧郁的成人童话。,剪刀手爱德华,https://movie.douban.com/subject/1292370/,536811人评价
8.8,70,故事的高级讲法。,低俗小说,https://movie.douban.com/subject/1291832/,376031人评价
8.8,71,视觉革命。,黑客帝国,https://movie.douban.com/subject/1291843/,316651人评价
8.9,72,美利坚精神输出大片No1.,拯救大兵瑞恩,https://movie.douban.com/subject/1292849/,270460人评价
8.7,73,安东尼·霍普金斯的顶级表演。,沉默的羔羊,https://movie.douban.com/subject/1293544/,393686人评价
8.7,74,你以为你以为的就是你以为的。,看不见的客人,https://movie.douban.com/subject/26580232/,403375人评价
8.7,75,你给我翻译翻译，神马叫做TMD的惊喜。,让子弹飞,https://movie.douban.com/subject/3742360/,699170人评价
8.7,76,人的命运被自己瞬间的抉择改变。,蝴蝶效应,https://movie.douban.com/subject/1292343/,425673人评价
8.8,77,死可能是一道门，逝去并不是终结，而是超越，走向下一程。,入殓师,https://movie.douban.com/subject/2149806/,345052人评价
8.8,78,爱情纠缠，男女一致。,春光乍泄,https://movie.douban.com/subject/1292679/,279405人评价
9.3,79,经典之作，历久弥新。,大闹天宫,https://movie.douban.com/subject/1418019/,116437人评价
8.9,80,你是我最好的朋友，你是我唯一的朋友 。,玛丽和马克思,https://movie.douban.com/subject/3072124/,249007人评价
9.0,81,“不要跟我比惨，我比你更惨”再适合这部电影不过了。,末代皇帝,https://movie.douban.com/subject/1293172/,199358人评价
8.8,82,人生中应该拥有这样的一段豁然开朗。,心灵捕手,https://movie.douban.com/subject/1292656/,304417人评价
8.8,83,一场华丽的意淫。,阳光灿烂的日子,https://movie.douban.com/subject/1291875/,302173人评价
8.8,84,人与自然的战争史诗。,幽灵公主,https://movie.douban.com/subject/1297359/,261339人评价
8.8,85,深入内心的恐怖，出人意料的结局。,第六感,https://movie.douban.com/subject/1297630/,259688人评价
8.8,86,小清新的故事里注入了大历史的情怀。,布达佩斯大饭店,https://movie.douban.com/subject/11525673/,360669人评价
8.7,87,寂寞没有期限。,重庆森林,https://movie.douban.com/subject/1291999/,371028人评价
8.7,88,昔日翩翩少年，今日大腹便便。,禁闭岛,https://movie.douban.com/subject/2334904/,402255人评价
8.7,89,童话世界的开端。,哈利·波特与魔法石,https://movie.douban.com/subject/1295038/,296897人评价
9.0,90,人言可畏。,狩猎,https://movie.douban.com/subject/6985810/,148371人评价
8.8,91,骗子大师和执著警探的你追我跑故事。 ,猫鼠游戏,https://movie.douban.com/subject/1305487/,262911人评价
8.7,92,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,大鱼,https://movie.douban.com/subject/1291545/,278812人评价
8.7,93,最不可能的那个人永远是最可能的。,致命ID,https://movie.douban.com/subject/1297192/,354448人评价
8.7,94,每个人心中都有一座断背山。,断背山,https://movie.douban.com/subject/1418834/,354172人评价
8.8,95,相逢只要一瞬间，等待却像是一辈子。,甜蜜蜜,https://movie.douban.com/subject/1305164/,254524人评价
8.7,96,百看不厌。 ,射雕英雄传之东成西就,https://movie.douban.com/subject/1316510/,304936人评价
8.9,97,我们都曾经是一一。,一一,https://movie.douban.com/subject/1292434/,171696人评价
8.7,98,没有一人完全善，也没有一人完全恶。,告白,https://movie.douban.com/subject/4268598/,377406人评价
8.8,99,再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,阳光姐妹淘,https://movie.douban.com/subject/4917726/,297340人评价
8.6,100,约翰尼·德普的独角戏。,加勒比海盗,https://movie.douban.com/subject/1298070/,384457人评价
8.9,101,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,穿条纹睡衣的男孩,https://movie.douban.com/subject/3008247/,169925人评价
8.9,102,被上帝抛弃了的上帝之城。,上帝之城,https://movie.douban.com/subject/1292208/,170412人评价
9.2,103,大时代中的人生，小人物的悲喜。,摩登时代,https://movie.douban.com/subject/1294371/,101215人评价
8.6,104,绝对意义上的美轮美奂。,阿凡达,https://movie.douban.com/subject/1652587/,581455人评价
8.7,105,缘分是个连绵词，最美不过一瞬。,爱在黎明破晓前,https://movie.douban.com/subject/1296339/,245545人评价
8.7,106,年度最佳date movie。,消失的爱人,https://movie.douban.com/subject/21318488/,398055人评价
8.8,107,动画片的圣经。,风之谷,https://movie.douban.com/subject/1291585/,193610人评价
8.7,108,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,爱在日落黄昏时,https://movie.douban.com/subject/1291990/,218663人评价
8.8,109,少女情怀总是诗。,侧耳倾听,https://movie.douban.com/subject/1297052/,188077人评价
8.8,110,穷尽一生，我们要学会的，不过是彼此拥抱。,超脱,https://movie.douban.com/subject/5322596/,194003人评价
8.9,111,梦的勾结。,红辣椒,https://movie.douban.com/subject/1865703/,152280人评价
8.7,112,恐怖分子的“秋菊打官司”。,恐怖直播,https://movie.douban.com/subject/21360417/,252079人评价
8.6,113,两张绝世的脸。 ,倩女幽魂,https://movie.douban.com/subject/1297447/,284991人评价
8.9,114,那些静得只能听见呼吸的日子里，你明白孤独即生活。,小森林 夏秋篇,https://movie.douban.com/subject/25814705/,152402人评价
8.6,115,我是一个演员。,喜剧之王,https://movie.douban.com/subject/1302425/,355313人评价
8.7,116,和谐的生活离不开摸头与被摸头。,驯龙高手,https://movie.douban.com/subject/2353023/,313571人评价
8.7,117,从没见过那么流氓的温柔，从没见过那么温柔的流氓。,菊次郎的夏天,https://movie.douban.com/subject/1293359/,204189人评价
8.7,118,有时候幸福需要等一等。 ,幸福终点站,https://movie.douban.com/subject/1292274/,245516人评价
8.7,119,幸福是生生不息，却难以触及的远。 ,萤火虫之墓,https://movie.douban.com/subject/1293318/,222882人评价
8.7,120,曾经的那段美好会沉淀为一辈子的记忆。,借东西的小人阿莉埃蒂,https://movie.douban.com/subject/4202302/,239133人评价
8.6,121,岁月流逝，来日可追。,岁月神偷,https://movie.douban.com/subject/3792799/,330676人评价
9.2,122,时代悲歌。,七武士,https://movie.douban.com/subject/1295399/,85156人评价
8.7,123,关于连环杀人悬案的集体回忆。,杀人回忆,https://movie.douban.com/subject/1300299/,229128人评价
8.5,124,Mr. I Don't Care其实也有Care的时候。,神偷奶爸,https://movie.douban.com/subject/3287562/,417517人评价
8.5,125,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,贫民窟的百万富翁,https://movie.douban.com/subject/2209573/,423509人评价
8.8,126,中国家庭的喜怒哀乐忍。,喜宴,https://movie.douban.com/subject/1303037/,154273人评价
